Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
1,6206,2427,680,0,6206,907,0,0
2,0,0,0,3,4538,0,0,2
1,6408,933,3175,0,6408,3916,0,0
0,6408,3924,0,1,6408,3922,2191,1
0,6026,1991,0,1,6098,3374,3010,1
1,6408,2134,3148,0,6408,4032,0,0
1,6152,2520,2391,0,6408,4032,0,0
1,6408,3235,928,0,6408,4032,0,0
1,6408,4032,3738,0,6408,3768,0,0
0,6330,3020,0,1,6408,1409,1826,1
1,6408,1638,3504,0,5453,2741,0,0
0,6240,1009,0,1,6276,4032,3652,1
0,6408,2132,0,1,6408,2162,1386,1
1,6408,2743,3468,0,6408,2899,0,0
1,6408,3966,2130,0,5453,4032,0,0
0,6090,2814,0,1,6408,3812,249,1
0,6355,41,0,1,6355,3680,889,1
0,6408,120,0,1,6408,4032,3592,1
1,6408,1262,4032,0,6408,3731,0,0
1,6277,0,0,2,5453,3916,0,1
1,6408,3955,3211,0,6408,4032,0,0
3,6408,4032,0,1,0,0,0,2
0,5454,54,0,1,6408,3216,1611,1
1,5768,1214,2734,0,6408,1575,0,0
1,6408,3619,1830,0,6171,2601,0,0
2,5718,4032,1901,0,6249,0,0,0
2,5739,1653,2660,0,2358,0,0,2
1,4496,0,0,2,5772,3924,0,1
3,6408,4032,4032,0,0,0,0,2
1,6408,1504,4032,0,6408,2218,0,0
1,6408,4032,1943,0,6408,4032,0,0
0,4988,2571,0,1,6216,2616,1269,1
0,5802,1630,0,1,5802,3270,1947,1
1,6261,1910,2730,0,6408,3878,0,0
1,6408,2690,1736,0,6408,3250,0,0
0,5375,125,0,1,6408,3220,3800,1
2,6408,666,0,1,252,0,0,2
0,6408,1866,0,1,6408,2086,526,1
1,6134,0,0,2,2796,882,0,2
1,6408,2458,3724,0,6408,3878,0,0
1,6408,3293,3714,0,6020,4032,0,0
3,5304,3058,3346,0,0,0,0,2
1,5304,2827,1877,0,5637,3309,0,0
3,5304,1968,3346,0,0,0,0,2
1,5172,2272,1945,0,6408,3168,0,0
1,4246,2132,1022,0,4774,2502,0,0
0,5304,2176,0,1,6408,3924,1309,1
1,5304,3201,758,0,6408,3955,0,0
0,5304,2366,0,1,6408,3377,3300,1
1,5304,2914,1530,0,6408,4032,0,0
0,5160,2000,0,1,6408,3816,1251,1
1,5304,1318,3346,0,6408,4032,0,0
1,0,0,0,3,6408,2242,0,1
1,5304,1836,37,0,5832,3436,0,0
1,5304,2181,112,0,6408,3924,0,0
1,5304,2116,2376,0,5760,1213,0,0
1,5136,513,461,0,6408,3924,0,0
3,5304,1196,3346,0,0,0,0,2
1,5304,2578,1130,0,5832,2458,0,0
0,5304,1482,0,1,6408,4032,595,1
0,5304,3346,0,1,6408,24,3680,1
1,4968,1568,2706,0,6408,3924,0,0
1,3658,2230,1494,0,6408,2703,0,0
1,4824,1740,1074,0,4919,676,0,0
3,2890,1430,3052,0,0,0,0,2
2,4824,1425,2036,0,2145,0,0,2
1,4824,0,0,2,5304,2146,0,1
1,3561,1554,1632,0,5304,3184,0,0
0,0,0,0,3,5304,3022,2421,1
0,0,0,0,3,5304,3346,3346,1
0,0,0,0,3,5832,3668,3668,1
0,2760,738,0,1,5832,2201,1928,1
3,3089,3346,0,1,0,0,0,2
1,5304,1003,3346,0,1192,3668,0,0
1,5304,3346,431,0,5304,3141,0,0
1,5304,3241,2038,0,5832,2765,0,0
0,0,0,0,3,5304,2862,3346,1
3,5832,2063,2153,0,0,0,0,2
0,5500,425,0,1,6408,442,3778,1
0,6408,518,0,1,6408,2938,3054,1
1,5222,2830,730,0,5282,2102,0,0
0,0,0,0,3,6408,4032,2874,1
3,6408,1684,4032,0,0,0,0,2
0,0,0,0,3,6408,1640,339,1
1,6408,3780,3651,0,5832,868,0,0
1,5566,1350,3192,0,6408,4032,0,0
1,5318,420,1984,0,4742,2578,0,0
0,2944,3765,0,1,6408,2488,3916,1
1,6249,1992,4032,0,6408,4032,0,0
0,1520,2933,0,1,4733,2569,1965,1
1,6408,3744,329,0,6408,3292,0,0
1,4824,3052,1198,0,5304,2674,0,0
0,4689,2782,0,1,5304,2229,977,1
3,4824,3052,3052,0,0,0,0,2
1,4824,1285,2698,0,2512,2963,0,0
3,4824,2096,3052,0,0,0,0,2
0,3984,1056,0,1,4464,208,223,1
1,4824,2435,2367,0,4392,763,0,0
0,4824,0,0,2,5304,2480,1748,1
0,0,0,0,3,5304,1456,913,1
